dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/rxbp4w	e053ff53-c156-4e2e-b9b5-4462e9625424	Tropicos Specimens Non-MO		9436
10.15468/hja69f	7bd65a7a-f762-11e1-a439-00145eb45e9a	Tropicos MO Specimen Data		8892
10.15468/0yosx9	9781ce05-2379-4a10-ab3b-c91346510df8	RSA - California Botanic Garden Herbarium		2733
10.15468/nu8kw5	dfe29309-9f9f-493b-95e7-68f4563a3cdb	Snake River Plain Herbarium (Boise State University, Idaho, USA)	Smith J (2025). Snake River Plain Herbarium (Boise State University, Idaho, USA). Version 1.26. Consortium of Pacific Northwest Herbaria. Occurrence dataset. https://ipt.pnwherbaria.org/resource?r=srp&v=1.26	1010
10.15468/6e8nje	d415c253-4d61-4459-9d25-4015b9084fb0	The New York Botanical Garden Herbarium (NY)		709
10.15468/pa5ddk	a878324a-3315-4121-9c83-f719819679ca	Whitman College Herbarium Vascular Plants	Dobson H (2025). Whitman College Herbarium Vascular Plants. Version 1.25. Consortium of Pacific Northwest Herbaria. Occurrence dataset. https://ipt.pnwherbaria.org/resource?r=wcw&v=1.25	529
10.15468/5y84ye	a185d0c4-1a12-45c1-a729-2a7b058b528d	NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA	Holmgren P, Reflora B F G (2023). NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. Version 1.224. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Occurrence dataset. https://ipt.jbrj.gov.br/reflora/resource?r=nyh&v=1.224	321
10.15468/hnhrg3	821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Specimen Records (USNM, US)	Orrell T, Informatics and Data Science Center - Digital Stewardship (2025). NMNH Extant Specimen Records (USNM, US). Version 1.93. National Museum of Natural History, Smithsonian Institution. Occurrence dataset. https://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a&v=1.93	307
10.15468/bsj52c	14bda39a-de67-4504-b1e3-883d7ed118d6	Magnoliophyta del Herbario BAB (Instituto de Recursos Biológicos CIRN-INTA)	Monsalvo M A, Voda A, Barrozo A (2023): Magnoliophyta del Herbario BAB (Instituto de Recursos Biológicos CIRN-INTA). v1.1. Instituto Nacional de Tecnologia Agropecuaria - Instituto de Recursos Biológicos. Dataset/Occurrence. https://ipt.mincyt.gob.ar/resource?r=magno&v=1.1	254
10.15468/lneqwn	9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07	SD - SD Herbarium, San Diego Natural History Museum		227
10.15468/jyrthk	07044577-bd82-4089-9f3a-f4a9d2170b2e	A global database for the distributions of crop wild relatives	Crop Wild Relatives Occurrence data consortia (2018). A global database for the distributions of crop wild relatives. Version 1.9. Centro Internacional de Agricultura Tropical (CIAT). Occurrence dataset https://doi.org/10.15468/jyrthk	223
10.15468/nmny7h	83a49751-4282-481e-a847-1c5c224a0551	The University and Jepson Herbaria -- Vascular Plants		189
10.15468/mdnmzb	af1b4db0-c8ce-4a95-b700-8a6a02bed9d6	University of South Florida Herbarium (USF)	Wunderlin, R. P., B. F. Hansen, A. R. Franck, and F. B. Essig (2017) Atlas of Florida Plants. Florida.PlantAtlas.org. [S.M. Landry and K.N. Campbell (original application development), USF Water Institute]. Institute for Systematic Botany, University of South Florida, Tampa.	182
10.15468/nxnqzf	90c853e6-56bd-480b-8e8f-6285c3f8d42b	Field Museum of Natural History (Botany) Seed Plant Collection		163
10.15468/adb2bb	ed3d96f2-db7b-48cd-9960-f871e7df7286	SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden		133
10.15468/ib5ypt	15f819bd-6612-4447-854b-14d12ee1022d	Naturalis Biodiversity Center (NL) - Botany		128
10.15468/yvnv66	e5b8f927-9763-418c-a404-6bf052d14b1a	Brigham Young University, S. L. Welsh Herbarium		124
10.15468/qguk7r	6958627a-e1cd-489f-b4f3-6e7760203b9d	HSC - Humboldt State University Vascular Plant Herbarium		106
10.15468/9ufthy	707e1918-0999-4f2f-9ad1-22c0be104861	North Carolina State University Vascular Plant Herbarium		105
10.15468/87mubt	05da2f31-7301-49f7-b79f-f9e7d12d8b2c	Puntos de presencia en Baja California (Botany)		97
10.15468/w3heee	790ddaee-885f-4915-ab0c-e54e9e17521a	The University and Jepson Herbaria -- Lichen		91
10.15468/nl8bvi	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	University of Michigan Herbarium	UM Herbarium Data Group, IPT Admin L (2025). University of Michigan Herbarium. Version 1.75. University of Michigan Herbarium. Occurrence dataset. https://lsa-ipt1-p.lsait.lsa.umich.edu/resource?r=umherb&v=1.75	89
10.15468/8htpvx	8aa57fb1-a290-467f-a578-77ec8cbe76b6	University of Idaho, Stillinger Herbarium Vascular Plants	Turck D (2025). University of Idaho, Stillinger Herbarium Vascular Plants. Version 1.25. Consortium of Pacific Northwest Herbaria. Occurrence dataset. https://ipt.pnwherbaria.org/resource?r=uid&v=1.25	81
10.15468/7gudyo	f934f8e2-32ca-46a7-b2f8-b032a4740454	CAS Botany (BOT)		71
10.15468/dlvoyt	cc09386c-43a4-4a12-8ae4-d25610645250	University of New Mexico Herbarium		57
10.15468/sl8svt	7fd2f6e2-f762-11e1-a439-00145eb45e9a	Computarización del Herbario ENCB, IPN. Fase IV. Base de datos de la familia Pinaceae y de distintas familias de la clase Magnoliopsida depositadas en el Herbario de la Escuela Nacional de Ciencias Biológicas, IPN		55
10.15468/ai1kou	e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5	UCR - University of California, Riverside Herbarium - Vascular Plants		42
10.15468/9uut5l	8016518a-f762-11e1-a439-00145eb45e9a	Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM (Plantas vasculares)		40
10.15468/sgspw4	bb0366a9-2a7e-44f8-9c9a-e49c23dae2f8	University of Louisiana at Monroe Herbarium, R. Dale Thomas Collection		40
10.15468/p4xh7g	10eeee73-a6f5-4793-bad4-b935db096efa	Wisconsin State Herbarium, Lichens		38
10.15468/nc6rxy	b5cdf794-8fa4-4a85-8b26-755d087bf531	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris) Some material digitized by e-ReColNat (ANR-11-INBS-0004)	35
10.15468/p5554y	689d12fc-aac8-4203-bace-4e64d3d61b89	Idaho State University, Ray J. Davis Herbarium Vascular Plants	Williams R (2025). Idaho State University, Ray J. Davis Herbarium Vascular Plants. Version 1.25. Consortium of Pacific Northwest Herbaria. Occurrence dataset. https://ipt.pnwherbaria.org/resource?r=ids&v=1.25	31
10.15468/swgqdk	809077e4-f762-11e1-a439-00145eb45e9a	Riqueza y distribución de especies vegetales en la Península de Baja California		18
10.15468/o3pvnh	861e6afe-f762-11e1-a439-00145eb45e9a	Harvard University Herbaria: All Records		10
