"SRP_occurrenceID","SRP_accession","SRP_imageURL","matchMethod","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","FotW_occurrenceID","scientificName_FotW","FotW_eventDate","FotW_recordNumber","FotW_recordedBy"
3516296,"75292","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075292.jpg","exact","Lomatium andrusianum","Apiaceae","14134","2021-06-01","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Blaine","TNC Rock Creek Preserve, Rock Creek Rd., ca. 4.2 km N of highway 20. Slopes above and around Rock Cr.","114° 23\' 47.5"" W""","43.365917",NA,"41832419-d9d1-3817-98f9-ff4cf0a1f5d8","Lomatium andrusianum","2021-06-01","C. Davidson 14134","S. R. Christoph"
3516297,"75293","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075293.jpg","exact","Cymopterus petraeus","Apiaceae","14129","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Bruneau Canyon Scenic Overlook. Ca. 25 km S of Bruneau on Hot Springs Road, then 5 km W on unnamed rd. (Scenic Overlook sign).","115° 41\' 33.4"" W""","42.904333",NA,"b396002f-e57f-3d4e-a6d4-2115c5163f64","Cymopterus petraeus","2021-05-15","Davidson, C 14129","S. Buerki"
3516301,"75526","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075526.jpg","num_only_unique_date","Alopecurus pratensis","Poaceae","14271","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 8.9 km S of Fish Lake Rd.","118° 34\' 33.7"" W""","42.703472",NA,"270045cf-a109-359a-b712-57430f21f788","Alopecurus pratensis","2021-07-22","Davidson 14271","C. M. Taylor"
3516610,"75589","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075589.jpg","exact","Primula tetrandra","Primulaceae","14247","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop. ca. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667889",NA,"7dc0f4bf-fdce-332b-a0cc-d1d033f724fd","Dodecatheon alpinum","2021-07-23","Davidson 14247","C. Davidson"
3517034,"75639","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075639.jpg","exact","Sedum lanceolatum","Crassulaceae","14250","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River.","118° 35\' 5.5"" W""","42.667789",NA,"d53c4d11-0be1-3c4d-84c6-fd6a2ab41737","Sedum lanceolatum","2021-07-23","Davidson 14250","R. Gereau"
3517081,"75650","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075650.jpg","exact","Astragalus adanus","Fabaceae","14117","2021-05-01","C. Davidson","S. Christoph, C. M. Taylor, R. Gereau","U.S.A.","Idaho","Boise","Idaho City-Placerville road, ca. 7 km E of Horse Shoe Bend on Harris Cr. Rd.","116° 2\' 7.7"" W""","43.884556",NA,"46c4bab1-76db-3abe-bb17-6b8bac2a1a64","Astragalus adanus","2021-05-01","C. Davidson 14117","C. Davidson"
3517202,"75676","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075676.jpg","exact","Lupinus lepidus var. lobbii","Fabaceae","14202","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 30.5 km E of Frenchglen; 4.7 km SSE of Fish Lake Rd.","118° 36\' 53.5"" W""","42.711472",NA,"5905ba55-c792-30cd-aae4-068dd71820af","Lupinus lepidus","2021-07-22","Davidson 14202","C. M. Taylor"
3517203,"75677","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075677.jpg","num_only_unique_date","Lupinus leucophyllus","Fabaceae","14184","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop. ca. 25 km E of Frenchglen and 1.2 km W of Fish Lake Rod.","118° 39\' 16.1"" W""","42.747417",NA,"ce949c5e-1a5f-34f5-a737-cffd8a8dd4d3","Lupinus leucophyllus","2021-07-24","Davidson 14184","C. M. Taylor"
3517204,"75679","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075679.jpg","exact","Lupinus pusillus","Fabaceae","14126","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"7ecb19aa-0d8a-3561-938f-9098c8b19ed2","Lupinus pusillus","2021-05-15","Davidson, C 14126","S. Buerki"
3517274,"75694","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075694.jpg","exact","Agastache urticifolia","Lamiaceae","14277","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 5 km S of Fish Lake Rd. N side of the road across from small creek through a boggy slope and meadow on the S side of the road.","118° 36\' 45.7"" W""","42.705833",NA,"671f4718-1489-37a3-a91b-ba83291ec8cb","Agastache urticifolia","2021-07-24","Davidson 14277","R. Gereau"
3517307,"75699","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075699.jpg","exact","Monardella odoratissima","Lamiaceae","14232","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Jackson","S Stens Mtn. Loop ca. 10.5 km E of bridge at Donner and Blitzen River.","118° 41\' 39.3"" W""","42.673333",NA,"4f8e29fd-83bb-3e97-b697-6cf9467041e7","Monardella odoratissima","2021-07-23","Davidson 14232","C. Davidson"
