"SRP_occurrenceID","SRP_accession","SRP_imageURL","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","note"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3516515,"75537","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075537.jpg","Elymus elymoides","Poaceae","14275","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 5 km S of Fish Lake Rd.","118° 36\' 45.7"" W""","42.705833",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3516585,"75574","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075574.jpg","Calyptridium umbellatum","Montiaceae","14208","2021-07-22","C. Davidson","C. M Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 30.5 km E of Frenchglen; 4.7 km SSE of Fish Lake Rd.","118° 36\' 53.5"" W""","42.711472",NA,"collector_number_not_in_FotW_DB"
3516586,"75575","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075575.jpg","Claytonia lanceolata","Montiaceae","14168","2021-06-26","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Adams","Peak of Brundage Mtn.Trails north of the ski lift terminus.","115° 52\' 15.6"" W""","45.260889",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3516606,"75585","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075585.jpg","Corydalis caseana","Papaveraceae","14158","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along highway 21. FSR 316 west from Mores Creek summit.","115° 39\' 32.5"" W""","43.922444",NA,"collector_number_not_in_FotW_DB"
3516617,"75596","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075596.jpg","Ceanothus velutinus","Rhamnaceae","14230","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S.  Steens Mtn. Loop. Ca. 9.4 km E of bridge at Donner and Blitzen River.","118° 41\' 46.3"" W""","42.665333",NA,"collector_number_not_in_FotW_DB"
